frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
1,0.000000000,10.0.4.3,10.0.4.4,6,4444,49164,,,182
2,0.050315362,,,,,,,,60
3,0.050344304,,,,,,,,42
4,0.051219373,10.0.4.4,10.0.4.3,6,49164,4444,,,214
5,0.051247832,10.0.4.3,10.0.4.4,6,4444,49164,,,54
6,5.094350298,,,,,,,,42
7,5.097375091,,,,,,,,60
8,56.094733083,10.0.4.3,10.0.4.4,1,,,,,98
9,56.097477557,10.0.4.4,10.0.4.3,1,,,,,98
10,57.102088701,10.0.4.3,10.0.4.4,1,,,,,98
11,57.108598553,10.0.4.4,10.0.4.3,1,,,,,98
12,58.104625309,10.0.4.3,10.0.4.4,1,,,,,98
13,58.106127904,10.0.4.4,10.0.4.3,1,,,,,98
14,59.118652651,10.0.4.3,10.0.4.4,1,,,,,98
15,59.120486996,10.0.4.4,10.0.4.3,1,,,,,98
16,60.119626491,10.0.4.3,10.0.4.4,1,,,,,98
17,60.122993878,10.0.4.4,10.0.4.3,1,,,,,98
18,60.705688484,,,,,,,,60
19,60.705729426,,,,,,,,42
20,61.138446672,10.0.4.3,10.0.4.4,1,,,,,98
21,61.141504839,10.0.4.4,10.0.4.3,1,,,,,98
22,61.161753187,,,,,,,,42
23,61.163190069,,,,,,,,60
24,62.141934755,10.0.4.3,10.0.4.4,1,,,,,98
25,62.146600480,10.0.4.4,10.0.4.3,1,,,,,98
26,63.144056713,10.0.4.3,10.0.4.4,1,,,,,98
27,63.146658550,10.0.4.4,10.0.4.3,1,,,,,98
28,64.145430855,10.0.4.3,10.0.4.4,1,,,,,98
29,64.147856047,10.0.4.4,10.0.4.3,1,,,,,98
30,65.148476013,10.0.4.3,10.0.4.4,1,,,,,98
31,65.150800394,10.0.4.4,10.0.4.3,1,,,,,98
32,66.208782110,10.0.4.3,10.0.4.4,1,,,,,98
33,66.211878225,10.0.4.4,10.0.4.3,1,,,,,98
34,67.209343476,10.0.4.3,10.0.4.4,1,,,,,98
35,67.211182385,10.0.4.4,10.0.4.3,1,,,,,98
36,68.011525222,10.0.4.3,10.0.4.4,6,4444,49164,,,182
37,68.073961687,10.0.4.4,10.0.4.3,6,49164,4444,,,214
38,68.074789270,10.0.4.3,10.0.4.4,6,4444,49164,,,54
39,68.211505203,10.0.4.3,10.0.4.4,1,,,,,98
40,68.213593735,10.0.4.4,10.0.4.3,1,,,,,98
41,69.214064884,10.0.4.3,10.0.4.4,1,,,,,98
42,69.215983196,10.0.4.4,10.0.4.3,1,,,,,98
43,70.250327042,10.0.4.3,10.0.4.4,1,,,,,98
44,70.255933324,10.0.4.4,10.0.4.3,1,,,,,98
45,71.267539914,10.0.4.3,10.0.4.4,1,,,,,98
46,71.271174514,10.0.4.4,10.0.4.3,1,,,,,98
47,72.276177155,10.0.4.3,10.0.4.4,1,,,,,98
48,72.278435312,10.0.4.4,10.0.4.3,1,,,,,98
49,73.278545056,10.0.4.3,10.0.4.4,1,,,,,98
50,73.281780915,10.0.4.4,10.0.4.3,1,,,,,98
51,74.282555787,10.0.4.3,10.0.4.4,1,,,,,98
52,74.288280736,10.0.4.4,10.0.4.3,1,,,,,98
53,75.310049423,10.0.4.3,10.0.4.4,1,,,,,98
54,75.312177348,10.0.4.4,10.0.4.3,1,,,,,98
55,76.317445007,10.0.4.3,10.0.4.4,1,,,,,98
56,76.319221118,10.0.4.4,10.0.4.3,1,,,,,98
57,77.319958604,10.0.4.3,10.0.4.4,1,,,,,98
58,77.323963980,10.0.4.4,10.0.4.3,1,,,,,98
59,78.398760084,10.0.4.3,10.0.4.4,1,,,,,98
60,78.411608966,10.0.4.4,10.0.4.3,1,,,,,98
61,79.409896781,10.0.4.3,10.0.4.4,1,,,,,98
62,79.411432128,10.0.4.4,10.0.4.3,1,,,,,98
63,80.419120807,10.0.4.3,10.0.4.4,1,,,,,98
64,80.422474790,10.0.4.4,10.0.4.3,1,,,,,98
65,81.420467821,10.0.4.3,10.0.4.4,1,,,,,98
66,81.421659255,10.0.4.4,10.0.4.3,1,,,,,98
67,82.422523155,10.0.4.3,10.0.4.4,1,,,,,98
68,82.424101674,10.0.4.4,10.0.4.3,1,,,,,98
69,83.424675654,10.0.4.3,10.0.4.4,1,,,,,98
70,83.426020670,10.0.4.4,10.0.4.3,1,,,,,98
71,84.459676735,10.0.4.3,10.0.4.4,1,,,,,98
72,84.461209638,10.0.4.4,10.0.4.3,1,,,,,98
73,85.486204509,10.0.4.3,10.0.4.4,1,,,,,98
74,85.487587210,10.0.4.4,10.0.4.3,1,,,,,98
75,86.490722209,10.0.4.3,10.0.4.4,1,,,,,98
76,86.492059431,10.0.4.4,10.0.4.3,1,,,,,98
77,87.513296521,10.0.4.3,10.0.4.4,1,,,,,98
78,87.515718046,10.0.4.4,10.0.4.3,1,,,,,98
79,88.514792650,10.0.4.3,10.0.4.4,1,,,,,98
80,88.516674954,10.0.4.4,10.0.4.3,1,,,,,98
81,89.516341106,10.0.4.3,10.0.4.4,1,,,,,98
82,89.518503927,10.0.4.4,10.0.4.3,1,,,,,98
83,90.533531756,10.0.4.3,10.0.4.4,1,,,,,98
84,90.534776830,10.0.4.4,10.0.4.3,1,,,,,98
85,91.552110131,10.0.4.3,10.0.4.4,1,,,,,98
86,91.553298318,10.0.4.4,10.0.4.3,1,,,,,98
87,92.586480566,10.0.4.3,10.0.4.4,1,,,,,98
88,92.589906258,10.0.4.4,10.0.4.3,1,,,,,98
89,93.588494839,10.0.4.3,10.0.4.4,1,,,,,98
90,93.589690882,10.0.4.4,10.0.4.3,1,,,,,98
91,94.590793163,10.0.4.3,10.0.4.4,1,,,,,98
92,94.592820114,10.0.4.4,10.0.4.3,1,,,,,98
93,95.595006636,10.0.4.3,10.0.4.4,1,,,,,98
94,95.596839443,10.0.4.4,10.0.4.3,1,,,,,98
95,96.597723390,10.0.4.3,10.0.4.4,1,,,,,98
96,96.599130592,10.0.4.4,10.0.4.3,1,,,,,98
97,97.598629597,10.0.4.3,10.0.4.4,1,,,,,98
98,97.600061295,10.0.4.4,10.0.4.3,1,,,,,98
99,98.225197938,,,,,,,,60
100,98.225243190,,,,,,,,42
101,98.646895135,10.0.4.3,10.0.4.4,1,,,,,98
102,98.648275860,10.0.4.4,10.0.4.3,1,,,,,98
103,99.654105786,10.0.4.3,10.0.4.4,1,,,,,98
104,99.655626533,10.0.4.4,10.0.4.3,1,,,,,98
105,102.807853272,10.0.4.4,10.0.4.255,17,,,138,138,251
106,104.686599891,,,,,,,,42
107,104.689284939,,,,,,,,60
108,132.265798149,10.0.4.3,10.0.4.4,6,4444,49164,,,54
109,132.267416141,10.0.4.4,10.0.4.3,6,49164,4444,,,60
110,132.277804582,10.0.4.4,10.0.4.3,6,49165,4444,,,66
111,132.277920600,10.0.4.3,10.0.4.4,6,4444,49165,,,54
112,132.279721018,10.0.4.4,10.0.4.3,6,49164,4444,,,60
113,132.279764082,10.0.4.3,10.0.4.4,6,4444,49164,,,54
114,132.773574809,10.0.4.4,10.0.4.3,6,49165,4444,,,66
115,132.773604764,10.0.4.3,10.0.4.4,6,4444,49165,,,54
116,133.289356137,10.0.4.4,10.0.4.3,6,49165,4444,,,62
117,133.289423442,10.0.4.3,10.0.4.4,6,4444,49165,,,54
118,134.206000167,10.0.4.3,10.0.4.2,17,,,68,67,324
119,134.216359242,,,,,,,,60
120,134.216380607,,,,,,,,42
121,134.216359674,10.0.4.2,10.0.4.3,17,,,67,68,590
122,139.237313605,,,,,,,,42
123,139.245985266,,,,,,,,60
124,143.310515640,10.0.4.4,10.0.4.3,6,49165,4444,,,66
125,143.310541771,10.0.4.3,10.0.4.4,6,4444,49165,,,54
126,143.817966176,10.0.4.4,10.0.4.3,6,49165,4444,,,66
127,143.817994900,10.0.4.3,10.0.4.4,6,4444,49165,,,54
128,144.324981358,10.0.4.4,10.0.4.3,6,49165,4444,,,62
129,144.325009288,10.0.4.3,10.0.4.4,6,4444,49165,,,54
130,148.026920335,10.0.4.3,10.0.4.4,6,39337,445,,,74
131,148.027988296,10.0.4.4,10.0.4.3,6,445,39337,,,74
132,148.028026096,10.0.4.3,10.0.4.4,6,39337,445,,,66
133,148.039651069,10.0.4.3,10.0.4.4,6,39337,445,,,154
134,148.041625101,10.0.4.4,10.0.4.3,6,445,39337,,,197
