srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label,source_file
10.0.2.6,43217,10.0.2.9,161,udp,1.936872027999982,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,54065,udp,4.046433667999963,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,57854,udp,1.2616541120000877,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,39846,10.0.2.9,161,udp,2.920267315999922,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,49923,10.0.2.9,161,udp,3.2219055489999846,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,59761,10.0.2.9,161,udp,1.0233857750000652,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,33633,10.0.2.9,161,udp,3.2906006280000497,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,53266,udp,3.7961196179999206,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,39850,10.0.2.9,161,udp,2.71537945099999,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,37486,udp,5.204617711000083,186138,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,38121,10.0.2.9,161,udp,1.3587236630000064,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,44197,10.0.2.9,161,udp,1.3302756030000182,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,43109,10.0.2.9,161,udp,1.219827625999983,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,60400,udp,1.099854427000082,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,39579,udp,1.0922706010000525,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,54685,10.0.2.9,161,udp,1.054467536000061,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,35323,10.0.2.9,161,udp,3.694784354000035,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,52423,10.0.2.9,161,udp,4.336259218000009,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,50346,10.0.2.9,161,udp,1.243582066999977,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,40763,10.0.2.9,161,udp,1.194943547000037,179045,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,32922,10.0.2.9,161,udp,3.810149146000015,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
