srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label
10.0.2.6,43217.0,10.0.2.9,161.0,udp,1.936872027999982,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,54065.0,udp,4.046433667999963,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,57854.0,udp,1.2616541120000875,186228,0,128.0,128.0,snmp,1
10.0.2.6,39846.0,10.0.2.9,161.0,udp,2.920267315999922,179134,0,64.0,64.0,snmp,1
10.0.2.6,49923.0,10.0.2.9,161.0,udp,3.2219055489999846,179248,0,64.0,64.0,snmp,1
10.0.2.6,59761.0,10.0.2.9,161.0,udp,1.0233857750000652,179248,0,64.0,64.0,snmp,1
10.0.2.6,33633.0,10.0.2.9,161.0,udp,3.2906006280000497,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,53266.0,udp,3.7961196179999206,186344,0,128.0,128.0,snmp,1
10.0.2.6,39850.0,10.0.2.9,161.0,udp,2.71537945099999,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,37486.0,udp,5.204617711000083,186138,0,128.0,128.0,snmp,1
10.0.2.6,38121.0,10.0.2.9,161.0,udp,1.3587236630000064,179134,0,64.0,64.0,snmp,1
10.0.2.6,44197.0,10.0.2.9,161.0,udp,1.3302756030000182,179134,0,64.0,64.0,snmp,1
10.0.2.6,43109.0,10.0.2.9,161.0,udp,1.219827625999983,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,60400.0,udp,1.099854427000082,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,39579.0,udp,1.0922706010000525,186228,0,128.0,128.0,snmp,1
10.0.2.6,54685.0,10.0.2.9,161.0,udp,1.054467536000061,179248,0,64.0,64.0,snmp,1
10.0.2.6,35323.0,10.0.2.9,161.0,udp,3.694784354000035,179134,0,64.0,64.0,snmp,1
10.0.2.6,52423.0,10.0.2.9,161.0,udp,4.336259218000009,179134,0,64.0,64.0,snmp,1
10.0.2.6,50346.0,10.0.2.9,161.0,udp,1.243582066999977,179134,0,64.0,64.0,snmp,1
10.0.2.6,40763.0,10.0.2.9,161.0,udp,1.1949435470000367,179045,0,64.0,64.0,snmp,1
10.0.2.6,32922.0,10.0.2.9,161.0,udp,3.8101491460000148,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,43217.0,udp,1.9369825870000454,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,55539.0,udp,1.3602592980000168,186344,0,128.0,128.0,snmp,1
10.0.2.9,59609.0,224.0.0.252,5355.0,udp,0.4091581240000153,142,0,1.0,1.0,snmp,1
10.0.2.9,161.0,10.0.2.6,39365.0,udp,3.1875454529999843,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,42858.0,udp,3.6187470930000245,186228,0,128.0,128.0,snmp,1
10.0.2.6,39579.0,10.0.2.9,161.0,udp,1.0924381439999706,179134,0,64.0,64.0,snmp,1
10.0.2.6,45735.0,10.0.2.9,161.0,udp,2.54848370000002,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,56837.0,udp,1.1996615499999734,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,46515.0,udp,3.993539116000079,186344,0,128.0,128.0,snmp,1
10.0.2.9,52159.0,224.0.0.252,5355.0,udp,0.41497479600002407,142,0,1.0,1.0,snmp,1
10.0.2.6,48322.0,10.0.2.9,161.0,udp,1.2387832299999957,179248,0,64.0,64.0,snmp,1
10.0.2.6,40205.0,10.0.2.9,161.0,udp,1.8239077650000013,179134,0,64.0,64.0,snmp,1
10.0.2.6,56672.0,10.0.2.9,161.0,udp,1.22241317299995,179134,0,64.0,64.0,snmp,1
10.0.2.6,50937.0,10.0.2.9,161.0,udp,4.136155741999914,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,55498.0,udp,2.9737097039999867,186344,0,128.0,128.0,snmp,1
10.0.2.6,45500.0,10.0.2.9,161.0,udp,1.1754074429999264,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,53034.0,udp,3.6039563319999957,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,46669.0,udp,1.70421446499995,186344,0,128.0,128.0,snmp,1
10.0.2.6,58752.0,10.0.2.9,161.0,udp,3.2671227390000013,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,39066.0,udp,1.2140450250000185,186228,0,128.0,128.0,snmp,1
10.0.2.6,35115.0,10.0.2.9,161.0,udp,1.3148368150000067,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,52255.0,udp,3.3596431530000075,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,58752.0,udp,3.26662925800008,186228,0,128.0,128.0,snmp,1
10.0.2.6,34770.0,10.0.2.9,161.0,udp,4.283741071000009,179337,0,64.0,64.0,snmp,1
10.0.2.6,50036.0,10.0.2.9,161.0,udp,4.529314373000005,178867,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,41647.0,udp,3.142092281999993,186344,0,128.0,128.0,snmp,1
10.0.2.6,42858.0,10.0.2.9,161.0,udp,3.6177483460000417,179134,0,64.0,64.0,snmp,1
10.0.2.6,38814.0,10.0.2.9,161.0,udp,3.315700388000039,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,38718.0,udp,1.9085586489999287,186228,0,128.0,128.0,snmp,1
10.0.2.6,55896.0,10.0.2.9,161.0,udp,2.9127648139999565,179134,0,64.0,64.0,snmp,1
10.0.2.6,55970.0,10.0.2.9,161.0,udp,1.9062560890000668,179134,0,64.0,64.0,snmp,1
10.0.2.6,42206.0,10.0.2.9,161.0,udp,4.081780722000019,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,56803.0,udp,1.7213886719999891,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,60588.0,udp,1.8611495150000223,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,38432.0,udp,1.1562964990000069,186228,0,128.0,128.0,snmp,1
10.0.2.6,52255.0,10.0.2.9,161.0,udp,3.359834739000007,179248,0,64.0,64.0,snmp,1
10.0.2.6,48415.0,10.0.2.9,161.0,udp,1.2466955159999884,179248,0,64.0,64.0,snmp,1
10.0.2.6,45971.0,10.0.2.9,161.0,udp,4.539200889000028,179048,0,64.0,64.0,snmp,1
10.0.2.6,51255.0,10.0.2.9,161.0,udp,3.7824147599999947,179045,0,64.0,64.0,snmp,1
10.0.2.6,39723.0,10.0.2.9,161.0,udp,4.2776855839999826,179134,0,64.0,64.0,snmp,1
10.0.2.6,49396.0,10.0.2.9,161.0,udp,1.265074716000015,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,35360.0,udp,1.2909064559999877,186344,0,128.0,128.0,snmp,1
