srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label
10.0.2.15,137.0,10.0.2.255,137.0,udp,1.4966407090000757,276,0,128.0,128.0,other,0
10.0.2.15,138.0,10.0.2.255,138.0,udp,5410.39821466,3944,0,128.0,128.0,other,0
10.0.2.15,161.0,10.0.2.3,32862.0,udp,0.5304524230004972,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,32921.0,udp,0.6481307789999846,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,33144.0,udp,0.5651851859993258,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,33516.0,udp,0.6923029720001068,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,33865.0,udp,0.6190807720004159,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,34411.0,udp,0.6497184649997507,194699,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,34622.0,udp,0.7161822759999268,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,34946.0,udp,0.6205353129998912,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,34949.0,udp,0.624159046999921,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,35014.0,udp,0.6024731030001931,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,35369.0,udp,0.7265318729996579,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,35496.0,udp,0.6521565530001681,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,35523.0,udp,0.5823215919999711,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,35664.0,udp,0.6484149339994474,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,35684.0,udp,0.5272651589993984,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,36092.0,udp,0.6246613630000866,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,36353.0,udp,0.7005784089997178,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,36765.0,udp,0.47993736599983094,194572,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,36766.0,udp,0.602713608999693,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,36899.0,udp,0.6978995230001601,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,38238.0,udp,0.5346674340007667,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,38332.0,udp,0.6455362369997601,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,39630.0,udp,0.6391296810006679,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,39891.0,udp,0.609961944999668,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,39917.0,udp,0.6773658849997446,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,40029.0,udp,0.6294487519999166,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,40031.0,udp,0.6153247889997147,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,40379.0,udp,0.6366439680004987,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,40675.0,udp,0.5656452639996132,194579,0,128.0,128.0,snmp,1
10.0.2.15,161.0,10.0.2.3,40725.0,udp,0.6438243520005926,194699,0,128.0,128.0,snmp,1
